id,decision,family,candidate_or_source,evidence_type,source,status,external_answer,printline_applicability,resource_and_integration,contrary_evidence_or_limit,disposition
P18,resolution,blind restoration,Real-ESRGAN,official repository,https://github.com/xinntao/Real-ESRGAN,established,"Closes maintained practical restoration candidate","Portable tiled inference and native ComfyUI upscale models","additional weights; documented tiling options","Tile inconsistency and invented texture can fail text or approved detail",admit P4
P19,resolution,transformer restoration,SwinIR,official repository,https://github.com/JingyunLiang/SwinIR,established,"Closes second maintained restoration family","May own quality or memory region","separate weights and older release line","Slower and higher memory than some CNN baselines in reported comparisons",development screen only
P20,compositional evaluation,prompt benchmark,T2I-CompBench++,benchmark repository and TPAMI update,https://github.com/Karine-Huang/T2I-CompBench,established,"Closes useful attribute relation and complex prompt taxonomy","Use bounded prompt categories and evaluator references","heavy evaluator stack; exact models and datasets must be pinned","Fixed prompts and automatic scores do not equal commercial acceptance",reuse categories not leaderboard claim
P21,compositional evaluation,difficulty-controlled prompt benchmark,ConceptMix,NeurIPS benchmark,https://openreview.net/forum?id=MU2s9wwWLo,established,"Closes need for controllable complexity and more diverse prompts","Supports category stress tests","prompt generation/evaluator not required in first slice","Synthetic concepts may underrepresent professional visual design",reuse taxonomy selectively
P22,semantic evaluation,VQA likelihood,VQAScore and GenAI-Bench,paper and maintained repository,https://github.com/linzhiqiu/t2v_metrics,established,"External human study shows stronger compositional correlation than CLIPScore","Useful diagnostic and ranking aid for prompt adherence","XL/XXL evaluator compute can contend with generator","Fine-grained visual details remain a stated limitation; not sole truth",admit P1-P5 evaluator
P23,preference evaluation,human preference model,HPSv3,maintained repository,https://github.com/MizzenAI/HPSv3,provisional,"Closes available secondary preference scorer","Can triage aesthetic preference","evaluator model compute and download","Preference cannot measure structural control and domain bias may transfer",optional P5 candidate
P24,evaluation,human review,randomized blind pairwise and accept-reject,ImagenHub and Gecko protocols,https://arxiv.org/abs/2310.01596,established,"ImagenHub reports weak automatic metric correlation for most conditional tasks","Required acceptance source for visible artifacts and client fit","review time and inter-rater disagreement","Small panels have uncertainty and need frozen rubrics",required across P1-P5
P25,evaluation,distribution metric,FID,CVPR 2024 critique,https://research.google/pubs/rethinking-fid-towards-a-better-evaluation-metric-for-image-generation/,established,"Closes that FID is inappropriate as primary small-sample metric","Printline has no representative real-image distribution and small budget","high sample requirement","Poor representation normality assumptions and inconsistent sample-size behavior",reject from dossier experiments
P26,evaluation,condition-specific metrics,edge depth pose layout OCR and reference measures,quality-metric surveys and benchmark protocols,https://arxiv.org/abs/2403.11821,established,"Closes that control must be measured against its own condition","Direct mapping to P2-P4 hard gates","small CV OCR and embedding adapters only","Each proxy has domain and threshold limits",required with human review
P27,multi-control,composition,ControlNet plus IP-Adapter or multiple conditions,ControlNet claims plus recent multi-condition studies,https://openreview.net/forum?id=V4j09HmZHe,contested,"External evidence says composition is possible but also documents conflicting guidance","Printline preliminary plan explicitly proposes combined control","additional weights VRAM and tuning surface","Separate branches can cause distortions semantic leakage and one control suppressing another",require factorial interaction cell
P28,execution,graph runtime,ComfyUI official server,official repository and routes,https://github.com/Comfy-Org/ComfyUI,established,"Closes runtime and API contract choice","Current adapter already matches prompt WebSocket history view flow","external GPU runtime and mutable core/custom nodes","Current receipt omits environment and some error events",retain and pin in P0
P29,execution,environment setup,comfy-cli and ComfyUI-Manager snapshots,official maintained repositories,https://github.com/Comfy-Org/comfy-cli,established,"Closes install launch and dependency-restoration component choice","Avoids custom setup logic","snapshots do not hash every model driver or OS dependency","Restored node environment can still differ in CUDA/model artifacts",adopt later with extended manifest
P30,execution,scaled wrapper,Salad comfyui-api,maintained repository,https://github.com/SaladTechnologies/comfyui-api,provisional,"Closes availability of scale storage and webhook wrapper","Not needed by single-worker technique benchmark","larger service container and configuration","Duplicates current API/queue and could create integration work without technique evidence",defer until client scale requirement
P31,execution,embedded exporter,ComfyUI-to-Python-Extension,maintained repository,https://github.com/pydn/ComfyUI-to-Python-Extension,provisional,"Closes available single-shot graph-to-code path","Could help a one-shot offline deliverable","must share ComfyUI environment; no long-lived prompt caching","Changes the service boundary and does not parameterize CLI inputs automatically",do not adopt now
P32,provenance,internal receipt,Printline graph and artifact digests,local architecture and claim ledger,docs/ARCHITECTURE.md and docs/CLAIM_LEDGER.md,established,"Closes current recipe graph artifact and retry lineage","Strong foundation for normalized live receipt","must add revisions weight/input/control/hardware/precision/time/memory","Same seed alone cannot guarantee byte-identical GPU output",extend in P0
P33,provenance,portable asset manifest,C2PA Python binding,official repository,https://github.com/contentauth/c2pa-python,provisional,"Closes implementable read sign verify component","Useful only for client-facing portable provenance","signing identity and policy required","Does not preserve queue state or prove semantic correctness",defer until client requirement
P34,commercial applicability,professional design benchmark,BizGenEval,systematic benchmark preprint,https://arxiv.org/abs/2603.25732,provisional,"Closes that natural-image quality does not cover text layout attribute and knowledge constraints","Printline poster/product use case needs text and layout categories","new benchmark and broad document tasks","Not yet a local reusable evaluator and some tasks exceed image workflow scope",use categories as applicability check
P35,multi-reference,reference interaction,MultiRef benchmark,benchmark paper,https://openreview.net/forum?id=TZwQU36KFd,provisional,"Closes that combining reference types is unsolved and not implied by single-reference success","Relevant only after single reference profile passes","larger prompt/reference/evaluator surface","Best reported systems still struggle and judge includes learned proxy",record as interaction not first profile
